Monthly Gas Data Collection in APEC Region

Sector : Exports
Energy : of which:pipeline
Unit : TJ

Member/Month	Jan.2006	Feb.2006	Mar.2006	Apr.2006	May2006	Jun.2006	Jul.2006	Aug.2006	Sep.2006	Oct.2006	Nov.2006	Dec.2006	Jan.2007	Feb.2007	Mar.2007	Apr.2007	May2007	Jun.2007	Jul.2007	Aug.2007	Sep.2007	Oct.2007	Nov.2007	Dec.2007	Jan.2008	Feb.2008	Mar.2008	Apr.2008	May2008	Jun.2008	Jul.2008	Aug.2008	Sep.2008	Oct.2008	Nov.2008	Dec.2008	Jan.2009	Feb.2009	Mar.2009	Apr.2009	May2009	Jun.2009	Jul.2009	Aug.2009	Sep.2009	Oct.2009	Nov.2009	Dec.2009	Jan.2010	Feb.2010	Mar.2010	Apr.2010	May2010	Jun.2010	Jul.2010	Aug.2010	Sep.2010	Oct.2010	Nov.2010	Dec.2010	Jan.2011	Feb.2011	Mar.2011	Apr.2011	May2011	Jun.2011	Jul.2011	Aug.2011	Sep.2011	Oct.2011	Nov.2011	Dec.2011	Jan.2012	Feb.2012	Mar.2012	Apr.2012	May2012	Jun.2012	Jul.2012	Aug.2012	Sep.2012	Oct.2012	Nov.2012	Dec.2012	Jan.2013	Feb.2013	Mar.2013	Apr.2013	May2013	Jun.2013	Jul.2013	Aug.2013	Sep.2013	Oct.2013	Nov.2013	Dec.2013	Jan.2014	Feb.2014	Mar.2014	Apr.2014	May2014	Jun.2014	Jul.2014	Aug.2014	Sep.2014	Oct.2014	Nov.2014	Dec.2014	Jan.2015	Feb.2015	Mar.2015	Apr.2015	May2015	Jun.2015	Jul.2015	Aug.2015	Sep.2015	Oct.2015	Nov.2015	Dec.2015	Jan.2016	Feb.2016	Mar.2016	Apr.2016	May2016	Jun.2016	Jul.2016	Aug.2016	Sep.2016	Oct.2016	Nov.2016	Dec.2016	Jan.2017	Feb.2017	Mar.2017	Apr.2017	May2017	Jun.2017	Jul.2017	Aug.2017	Sep.2017	Oct.2017	Nov.2017	Dec.2017	Jan.2018	Feb.2018	Mar.2018	Apr.2018	May2018	Jun.2018	Jul.2018	Aug.2018	Sep.2018	Oct.2018	Nov.2018	Dec.2018	Jan.2019	Feb.2019	Mar.2019	Apr.2019	May2019	Jun.2019	Jul.2019	Aug.2019	Sep.2019	Oct.2019	Nov.2019	Dec.2019	Jan.2020	Feb.2020	Mar.2020	Apr.2020	May2020	Jun.2020	Jul.2020	Aug.2020	Sep.2020	Oct.2020	Nov.2020	Dec.2020	Jan.2021	Feb.2021	Mar.2021	Apr.2021	May2021	Jun.2021	Jul.2021	Aug.2021	Sep.2021	Oct.2021	Nov.2021	Dec.2021	Jan.2022	Feb.2022	Mar.2022	Apr.2022	May2022	Jun.2022	Jul.2022	Aug.2022	Sep.2022	Oct.2022	Nov.2022	Dec.2022	Jan.2023	Feb.2023	Mar.2023	Apr.2023	May2023	Jun.2023	Jul.2023	Aug.2023	Sep.2023	Oct.2023	Nov.2023	Dec.2023	Jan.2024	Feb.2024	Mar.2024	Apr.2024	May2024	Jun.2024	Jul.2024	Aug.2024	Sep.2024	Oct.2024	Nov.2024	Dec.2024
Mexico	-	-	-	-	-	-	-	0	2124	2124	1480	4115	4342	7933	6659	9912	2922	3876	5677	4597	2071	1689	3168	4195	1207	0	1490	120	3290	2696	3691	4608	6699	6595	6337	7558	5938	442	99	6826	6768	16494	15149	0	11971	13362	13150	8051	12440	754	2836	729	36	17	24	19	1185	410	16	549	0	42	82	62	58	49	58	58	31	39	22	39	32	33	39	39	32	31	18	33	0	21	30	23	20	19	21	19	15	29	192	174	156	156	144	156	144	0	132	120	136	134	127	130	119	115	100	96	89	83	81	80	82	77	85	87	88	88	76	67	62	74	72	70	71	68	66	64	57	57	57	58	56	50	56	53	51	52	53	53	42	55	50	50	0	44	47	41	47	47	44	46	46	42	39	42	40	34	37	37	37	37	34	36	36	36	36	36	36	32	32	33	33	32	33	36	30	30	29	27	29	23	27	25	25	25	25	27	27	27	26	26	26	22	26	25	25	25	24	26	22	25	23	24	23	0	27	26	26	23	24	24	26	26	23	25	25	23	23	22	23	22	22	24	24	-	-	-
New Zealand	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	-	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-
Papua New Guinea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Peru	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Philippines	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-
Russia	-	-	-	-	-	-	-	-	570502	504334	652444	815596	610133	637530	525522	617179	608753	505217	533260	622463	391182	770088	722027	821457	801075	790844	687970	603232	708370	592780	542772	464144	555163	551887	581092	590715	261711	393958	299146	398171	526336	500904	608034	599126	587500	622272	770566	869205	441954	634680	555110	495013	507147	459075	427120	393063	459495	629712	610492	753820	734165	693559	679543	604027	626244	510871	434002	382068	444588	531135	625674	650063	699149	757051	757051	541904	482755	475113	478336	460478	512102	532824	547807	749034	707892	603335	685955	522241	530316	493327	531547	601948	665363	655404	665527	781332	782808	645849	647665	628821	603962	502223	444466	415999	428229	427063	465608	531799	556360	496867	603423	607858	602651	534954	555767	527892	533963	727180	640042	696702	658256	574669	653396	576734	567990	545808	527472	552475	609235	708011	763570	791280	800188	657652	651018	581864	570995	NA	563111	580794	544187	666483	709792	794625	678568	666953	849699	715745	668139	619347	602016	710614	663180	669718	713451	702222	700223	771579	704115	561433	599237	570567	612339	630851	627116	743593	757579	799806	700880	424228	469455	380845	284522	407169	257734	515182	459556	637260	512601	679130	668544	592868	542086	483560	592948	321977	334633	535974	491325	384582	467407	548008	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Singapore	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	0	0	0	0	-	0	-	0	-	0	0	0	-	0	-	0	-	0	-	0	-	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
Chinese Taipei	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Thailand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
United States of America	-	-	-	-	-	-	-	58458	56316	62707	74173	76542	81015	73045	81956	72031	66392	60902	66955	60828	69211	63008	70188	99851	110038	110039	112858	81015	77858	69549	65225	70301	61316	73646	100866	117520	123234	113647	114174	89023	53637	55789	48495	38010	35338	29700	41118	39202	104875	51487	103086	72167	84936	81421	89870	85785	88315	80849	91308	113135	130211	129194	144537	127377	132224	124206	118893	117726	125463	101480	131949	138934	136235	136590	148058	130867	140041	130128	126180	144991	144624	144759	-	164616	165065	142012	159052	134023	151505	142645	137011	138851	130536	126504	117700	125203	143282	139543	159718	129984	118515	127721	59328	119666	124332	119395	120690	134468	139434	158569	177745	130815	138108	143928	149615	151636	159714	165503	0	0	0	0	181885	0	179199	180671	187580	180222	194662	193154	224757	212653	224820	248692	216927	228756	185426	206168	220574	223365	273292	225384	199814	234003	218850	255413	212395	199004	214169	204932	198783	223163	230140	243571	244552	250714	268688	266438	302145	255001	211396	261747	241307	259674	286205	225558	289304	307500	276920	243235	269514	223874	226806	244326	269326	262634	260077	275341	262296	263536	275002	229514	292070	274175	280115	285115	283048	282409	266957	262897	266769	293311	272859	243535	291092	272296	279814	266017	272596	271054	245415	293775	267408	273950	283687	262784	299965	258875	289889	296845	317322	313899	311182	297009	298881	318980	309767	316701	331746	293814	310828	301494	317011	319768	306968	0	-	-
Vietnam	-	-	-	-	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	-	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
